Doi,Year,Name,Abbreviation,Sintering temperature,Sintering time,Category,Cycle,Capacity,Retention,Current: mAg-1,Current: C,Voltage lower limit,Voltage upper limit,Elements
10.1016/j.jtice.2020.11.032,2020,O3-Na0.9Mn0.55Ni0.35Cu0.1O2,,900.0,12.0,Rate performance,,167.0,,,0.1,2.0,4.0,"{'Na': '0.9', 'Mn': '0.55', 'Ni': '0.35', 'Cu': '0.1', 'O': '2'}"
10.1016/j.jtice.2020.11.032,2020,O3-Na0.9Mn0.55Ni0.35Cu0.1O2,,900.0,12.0,Rate performance,,168.22,,,0.1,2.0,4.0,"{'Na': '0.9', 'Mn': '0.55', 'Ni': '0.35', 'Cu': '0.1', 'O': '2'}"
10.1016/j.apsusc.2022.155097,2023,P2-Na0.8Mn0.9Cu0.1O2,NCMO,900.0,12.0,Cycling performance,50.0,,71.6,,0.1,1.5,4.5,"{'Na': '0.8', 'Mn': '0.9', 'Cu': '0.1', 'O': '2'}"
10.1016/j.jre.2018.12.019,2019,Na0.67La0.01Ti0.2Mn0.44Co0.35O2,,950.0,12.0,Rate performance,,127.1,,,0.1,1.5,4.0,"{'Na': '0.67', 'La': '0.01', 'Ti': '0.2', 'Mn': '0.44', 'Co': '0.35', 'O': '2'}"
10.1016/j.jre.2018.12.019,2019,Na0.67Ti0.2Mn0.45Co0.35O2,,950.0,12.0,Cycling performance,50.0,,56.2,,0.1,1.5,4.0,"{'Na': '0.67', 'Ti': '0.2', 'Mn': '0.45', 'Co': '0.35', 'O': '2'}"
10.1016/j.apsusc.2022.155097,2023,P2-Na0.8Li0.15Mn0.75Cu0.1O2,NLCMO,900.0,12.0,Cycling performance,1.0,208.4,,,0.1,1.5,4.5,"{'Na': '0.8', 'Li': '0.15', 'Mn': '0.75', 'Cu': '0.1', 'O': '2'}"
10.1016/j.jre.2018.12.019,2019,Na0.67Ti0.2Mn0.45Co0.35O2,,950.0,12.0,Cycling performance,50.0,74.5,,,0.1,1.5,4.0,"{'Na': '0.67', 'Ti': '0.2', 'Mn': '0.45', 'Co': '0.35', 'O': '2'}"
10.1016/j.apt.2018.01.027,2018,Na0.66Li0.2Ti0.5Mn0.5O2,,800.0,10.0,Cycling performance,100.0,128.0,,,0.1,,,"{'Na': '0.66', 'Li': '0.2', 'Ti': '0.5', 'Mn': '0.5', 'O': '2'}"
10.1016/j.cplett.2021.139050,2021,P2-Na0.59Mn0.9Co0.1O2,NCM,1000.0,12.0,Rate performance,,164.45,,,0.1,2.0,4.0,"{'Na': '0.59', 'Mn': '0.9', 'Co': '0.1', 'O': '2'}"
10.1016/j.jre.2018.12.019,2019,Na0.67Ti0.2Mn0.45Co0.35O2,,950.0,12.0,Cycling performance,1.0,132.5,,,0.1,1.5,4.0,"{'Na': '0.67', 'Ti': '0.2', 'Mn': '0.45', 'Co': '0.35', 'O': '2'}"
